Type,Class,Name,Description,Resistant to:,Flavor text,Pos,Neg,Other
Microbe,Pathogen,Clostridium botulin (botulism),"When this species is in play you cannot play any food cards (salad, bread, milk, lasagna).","Ampicillin,Tetracycline","This microbe is responsible for botulism, a kind of food poisoning",0,-2,0
Microbe,Pathogen,Clostridium botulin (botulism),"When this species is in play you cannot play any food cards (salad, bread, milk, lasagna).","Ampicillin,Tetracycline","This microbe is responsible for botulism, a kind of food poisoning",0,-2,0
Microbe,Pathogen,Clostridium dificile,"When this species is in play you cannot play any ""beneficial only"" microbes (except using ""Probiotics"").","Kanamycin,Tetracycline",Antiobiotic-resistant C. dificile is an increasing problem in hospitals,0,-2,0
Microbe,Pathogen,Clostridium dificile,"When this species is in play you cannot play any ""beneficial only"" microbes (except using ""Probiotics"").","Kanamycin,Tetracycline",Antiobiotic-resistant C. dificile is an increasing problem in hospitals,0,-2,0
Microbe,Pathogen,Yersinia pestis (plague),…,Kanamycin,This is the microbe responsible for bubonic plague,0,-2,0
Microbe,Pathogen,Yersinia pestis (plague),…,Kanamycin,This is the microbe responsible for bubonic plague,0,-2,0
Microbe,Pathogen,Salmonella enterica,…,Ampicillin,"A common source of food poisoning, often associated with poultry",0,-2,0
Microbe,Pathogen,Salmonella enterica,…,Ampicillin,"A common source of food poisoning, often associated with poultry",0,-2,0
Microbe,Pathogen,Mycobacterium leprae (leprosy),…,Tetracycline,"Once a significant problem, leprosy is now treatable with antibiotics",0,-2,0
Microbe,Pathogen,Mycobacterium leprae (leprosy),…,Tetracycline,"Once a significant problem, leprosy is now treatable with antibiotics",0,-2,0
Microbe,Opportunistic,Lactobacillus reuteri ,Synthesizes vitamin B12 when in beneficial zone.,,Humans are unable to synthesize this vitamin alone,2,-1,V
Microbe,Opportunistic,Lactobacillus reuteri ,Synthesizes vitamin B12 when in beneficial zone.,,Humans are unable to synthesize this vitamin alone,2,-1,V
Microbe,Opportunistic,Bifidobacterium longum,Synthesizes vitamin B1 (thiamine) when in beneficial zone.,,Humans are unable to synthesize this vitamin alone,2,-1,V
Microbe,Opportunistic,Bifidobacterium longum,Synthesizes vitamin B1 (thiamine) when in beneficial zone.,,Humans are unable to synthesize this vitamin alone,2,-1,V
Microbe,Opportunistic,Escherichia coli,Synthesizes vitamin K when in beneficial zone.,,E. coli is normally an important part of your gut microbiome,2,-1,V
Microbe,Opportunistic,Escherichia coli,Synthesizes vitamin K when in beneficial zone.,,E. coli is normally an important part of your gut microbiome,2,-1,V
Microbe,Opportunistic,Fusobacterium nucleatum,"If less than 3 microbes in your beneficial zone at end of turn, becomes a pathogen.  Returns at end of any turn you have 3+ microbes there. ",,"Common in humans, but overrepresented in some health issues",1,-1,0
